MF,Part/Description,Grp,Sts,OEM,Bin/Shelf,O/H,O/O,B/O,Core,Cost,Trade,List,ExtCost
HY,21356-3E000 : GASKET-TIMING BELT CO,200, N,,C3/H05,1,,,,1.05,1.44,1.69,1.05
HY,21359-2E000 : BOLT-FLANGE,200, A,,B1/F32,4,,,,2.15,2.95,3.47,8.6
HY,21360-3C500 : NIPPLE,200, N,,B1/I13,1,,,,4.62,6.33,7.45,4.62
HY,21362-3E000 : GASKET-TIMING BELT CV,200, N,,C3/H04,1,,,,7.8,10.69,12.58,7.8
HY,21372-3E000 : GASKET-TIMING BELT CV,200, N,,C3/H03,1,,,,9.21,12.62,14.85,9.21
HY,21382-3E000 : GASKET-TIMING BELT CV,200, N,,C3/H07,1,,,,11,15.08,17.74,11
HY,21390-2G060 : BOLT,200, N,,B1/G27,6,,,,5.71,7.83,9.21,34.26
HY,21392-3E000 : GASKET-TIMING BELT CO,200, N,,C3/H01,1,,,,9.39,12.88,15.15,9.39
HY,21414-2B010 : COVER,200, N,,B6/F15,1,,,,3.66,5.02,5.9,3.66
HY,21421-2B030 : SEAL-OIL,200, N,,B1/J11,1,,,,10.78,14.78,17.39,10.78
HY,21421-2E300 : SEAL-OIL,200, N,,B1/J06,10,,,,10.11,13.86,16.31,101.1
HY,21443-2E110 : SEAL-OIL RR,200, N,,B1/J08,1,,,,26.4,36.19,42.58,26.4
HY,21443-2G000 : SEAL-OIL RR,200, N,,B1/J07,3,,,,24.64,33.78,39.74,73.92
HY,21513-11000 : GASKET-OIL PLUG,201, N,,B1/F34,1,,,,0.87,1.19,1.4,0.87
HY,21513-23001 : GASKET-ENGINE OIL PLU,201, A,,COUNTER,105,,,,1.78,2.44,2.87,186.9
HY,22125-2C000 : STUD,201, N,,B1/G13,6,,,,1.58,2.17,2.55,9.48
HY,22125-23001 : STUD,200, N,,B1/F12,10,,,,1.64,2.25,2.65,16.4
HY,22125-3C200 : STUD,200, N,,B1/F40,12,,,,1.18,1.62,1.9,14.16
HY,22127-03000 : STUD,200, A,,B1/G18,12,,,,1.02,1.4,1.65,12.24
HY,22127-2B000 : STUD,200, A,,B1/F26,5,,,,0.84,1.15,1.35,4.2
HY,22131-2G000 : STUD,200, N,,B1/G12,4,,,,1.12,1.54,1.81,4.48
HY,22131-25000 : STUD,200, N,,B1/G17,4,,,,0.22,0.3,0.35,0.88
HY,22222-2E000 : RETAINER-VALVE SPRING,200, N,,B6/F19,4,,,,0.76,1.05,1.23,3.04
HY,22222-2G600 : RETAINER-VALVE SPRING,200, N,,C3/F01,31,,,,1.86,2.54,2.99,57.66
HY,22223-22001 : LOCK-VALVE SPRING RET,201, N,,C3/G08,2,,,,1.57,2.15,2.53,3.14
HY,22224-2B011 : SEAL-VALVE STEM INLET,200, N,,C3/F32,8,,,,3.64,4.99,5.87,29.12
HY,22224-2G000 : SEAL-VALVE STEM,200, N,,C3/F13,96,,,,1.86,2.55,3,178.56
HY,22224-23500 : SEAL-VALVE STEM,201, N,,C3/F23,40,,,,3.65,5.01,5.89,146
HY,22224-3CAB0 : SEAL-VALVE STEM,200, N,,C3/F02,12,,,,4.63,6.35,7.47,55.56
HY,22226-3CCA0 : TAPPET,200, N,,C3/F22,12,,,,14.61,20.03,23.56,175.32
HY,22311-3CGA5 : GASKET-CYLINDER HEAD,200, N,,C3/L,1,,,,78.79,108.02,127.08,78.79
HY,22321-3CGA0 : BOLT-CYLINDER HEAD,200, N,,B6/G12,4,,,,4.33,5.93,6.98,17.32
HY,22322-2E000 : WASHER-CYLINDER HEAD,200, N,,B1/G06,6,,,,0.69,0.94,1.11,4.14
HY,22322-23010 : WASHER-CYLINDER HEAD,202, N,,B1/F18,5,,,,2.1,2.88,3.39,10.5
HY,22400-3C000-QQH : SERVICE KIT,200, N,,A1/I02,1,,,,5.42,7.43,8.74,5.42
HY,22441-2E210 : GASKET-ROCKER COVER,200, N,,C3/K,1,,,,33.02,45.27,53.26,33.02
HY,22441-2GGB0 : GASKET-ROCKER COVER,200, A,,C3/K00,3,,,,53.97,73.99,87.05,161.91
HY,22441-2G000 : GASKET-ROCKER COVER,200, N,,C3/K,1,,,,27.6,37.84,44.52,27.6
HY,22441-2G670 : GASKET-ROCKER COVER,200, N,,C3/K,1,,,,53.97,73.99,87.05,53.97
HY,"22441-3C110 : GASKET-ROCKER COVER,R",201, N,,C3/K,1,,,,36.86,50.53,59.45,36.86
HY,22441-37110 : GASKET-ROCKER COVER,201, N,,C3/I11,2,,,,23,31.54,37.1,46
HY,22442-2GGB0 : GASKET-FUEL PUMP,200, A,,B6/G04,3,,,,35.3,35.62,41.9,105.9
HY,22443-2B600 : GASKET-ROCKER COVER,200, N,,C3/I10,1,,,,11.61,15.92,18.73,11.61
HY,22443-2E000 : SEAL-OIL,202, A,,B1/J01,0,,,,17.86,24.49,28.81,
HY,22443-23001 : SEAL-OIL,201, N,,B1/J05,1,,,,19.94,27.34,32.16,19.94
HY,"22453-3C120 : GASKET-ROCKER COVER,L",200, N,,C3/K,1,,,,39.78,54.54,64.16,39.78
HY,22453-3C120-QQH : GASKET-ROCKER COV,200, N,,A1/I05,1,,,,9.15,12.55,14.76,9.15
HY,"23121-25050 : SPROCKET-CRKSHF BSM,2",200, N,,C3/F35,1,,,,46.44,63.66,74.9,46.44
HY,23121-25060 : SPROCKET-CRANKSHAFT,200, N,,C3/F34,1,,,,52.02,71.32,83.9,52.02
HY,23124-2B020 : PULLEY-DAMPER,200, N,,C3/E00,1,,,,98.33,134.81,158.6,98.33
HY,23124-2E000 : PULLEY-DAMPER,200, N,,C3/E00,1,,,,98.33,134.81,158.6,98.33
HY,23124-2E003 : PULLEY-DAMPER,200, N,,C2/D00,1,,,,98.33,134.81,158.6,98.33
HY,23125-22020 : KEY-CRANKSHAFT,203, N,,C3/F29,1,,,,1.84,2.52,2.97,1.84
HY,23125-25000 : KEY-CRANKSHAFT,200, N,,C3/F11,5,,,,1.84,2.52,2.97,9.2
HY,23127-2E000 : BOLT-CRANKSHAFT,200, N,,C3/F30,2,,,,15.52,21.28,25.03,31.04
HY,23128-2E000 : PIN-DOWEL,200, N,,C3/F03,4,,,,2.26,3.1,3.65,9.04
HY,24200-2E074 : CAMSHAFT ASSY-EXHAUST,200, A,,SPORD,0,,,,191.65,262.74,309.11,
HY,24312-39800 : BELT-VALVE TIMING,201, N,,A4/D00,1,,,,114.3,156.7,184.35,114.3
HY,24321-2E010 : CHAIN-TIMING,200, A,,SPORD,0,,,,108.04,148.12,174.26,
HY,24349-2E000 : BOLT-T/CHAIN,200, N,,B1/G03,1,,,,3.07,4.21,4.95,3.07
HY,24350-2GGB0 : CVVT ASSY-INTAKE,200, N,,B6/K00,1,,,,480.88,659.28,775.62,480.88
HY,24350-25000 : CVVT ASSY-INTAKE,202, N,,C3/E00,1,,,,181.13,248.33,292.15,181.13
HY,24351-2GGA1 : PLUG,200, A,,B1/H04,0,,,,33.54,45.98,54.1,
HY,24351-2GGB1 : PLUG,200, N,,B1/J21,1,,,,21.81,29.9,35.18,21.81
HY,24355-26710 : OIL CONTROL VALVE ASS,200, N,,C4/C00,1,,,,225.46,309.1,363.65,225.46
HY,24356-25000 : FILTER ASSY-OCV,200, N,,C3/F05,1,,,,7.9,10.83,12.74,7.9
HY,24360-2GGD0 : COVER ASSY,200, A,,C4/C00,0,,,,68.04,93.28,109.74,
HY,24361-25000 : BOLT-CVVT,201, A,,B6/F15,4,,,,1.75,2.4,2.82,7
HY,24370-2E020 : CVVT ASSY-EXHAUST,200, A,,B6/E00,0,,,,226.72,310.83,365.68,
HY,24370-2G000 : CVVT ASSY-EXHAUST,200, N,,C3/E00,1,,,,226.72,310.83,365.68,226.72
HY,24371-2G010 : BRG-EX CAM/SHF UPR ST,200, N,,C3/F17,5,,,,3.19,4.38,5.15,15.95
HY,24371-2G020 : BRG-EX CAM/SHF UPR ST,200, N,,C3/F14,1,,,,2.32,3.18,3.74,2.32
HY,24372-2G000 : BRG-EX CAM/SHF LWR ST,200, N,,C3/F19,1,,,,2.32,3.18,3.74,2.32
HY,24372-2G021 : BRG-EX CAM/SHF LWR ST,200, N,,C3/F16,1,,,,2.32,3.18,3.74,2.32
HY,24375-2G200 : OIL FLOW CONTROL VALV,200, N,,C4/C00,1,,,,145.43,199.38,234.56,145.43
HY,24375-2G500 : OIL FLOW CONTROL VALV,202, N,,C4/C00,1,,,,148.47,203.55,239.47,148.47
HY,24410-2E000 : TENSIONER ASSY-TIMING,200, A,,C3/F37,0,,,,79.79,109.39,128.69,
HY,24410-23400 : TENSIONER ASSY-VLV TI,202, N,,C3/F38,1,,,,96.77,132.67,156.08,96.77
HY,24430-2J000 : GUIDE-CHAIN,200, A,,SPORD,0,,,,19.16,26.26,30.9,
HY,24471-2G050 : GUIDE-OIL PUMP,200, N,,C3/F28,1,,,,9.44,12.95,15.23,9.44
HY,24610-2E000 : ADJUSTER ASSY-ROCKER,200, N,,C3/G01,1,,,,16.47,22.58,26.56,16.47
HY,24840-37120 : ARM ASSY-TENSIONER,202, N,,C3/E00,1,,,,102.8,140.94,165.81,102.8
HY,25100-2B700 : PUMP ASSY-COOLANT,200, N,,B6/K00,1,,,,111.5,152.86,179.84,111.5
HY,25100-2S000 : PUMP ASSY-COOLANT,200, N,,C2/F00,1,,,,216.89,297.35,349.82,216.89
HY,25100-38200 : PUMP ASSY-COOLANT,202, N,,B6/K00,1,,,,142.8,195.77,230.32,142.8
HY,25100-39012 : PUMP ASSY-COOLANT,202, N,,B6/K00,1,,,,229.52,314.66,370.19,229.52
HY,25124-2E000 : GASKET-WATER PUMP,200, A,,C3/H09,0,,,,6.61,9.06,10.66,
HY,25124-2G500 : GASKET-WATER PUMP,200, N,,C3/I04,2,,,,9.63,13.2,15.53,19.26
HY,25124-2M800 : GASKET-WATER PUMP,200, A,,SPORD,0,,,,6.89,9.44,11.11,
HY,25124-3C200 : BOLT-FLANGE,200, N,,B1/G08,4,,,,0.72,0.99,1.16,2.88
HY,25124-39010 : GASKET-WATER PUMP,202, N,,C3/L,1,,,,18.5,25.36,29.84,18.5
HY,25130-2S000 : GASKET-WATER PUMP,200, A,,C3/G13,1,,,,7.94,10.89,12.81,7.94
HY,25130-25002 : GASKET-WATER PUMP,200, N,,C3/I20,2,,,,9.39,12.88,15.15,18.78
HY,25156-2M000 : BOLT-FLANGE,200, A,,SPORD,0,,,,1.14,1.56,1.84,
HY,25212-2E300 : RIBBED BELT-V,200, A,,C3/E00,1,,,,36.8,50.45,59.35,36.8
HY,25212-2GGA1 : RIBBED BELT-V,200, A,,C3/E00,0,,,,51.38,70.44,82.87,
HY,25212-2G100 : RIBBED BELT-V,202, N,,A4/D00,1,,,,56.5,77.46,91.13,56.5
HY,25212-2S000 : RIBBED BELT-V,200, N,,C2/F00,1,,,,29.03,39.8,46.82,29.03
HY,25212-2S050 : BELT-WATER PUMP,200, N,,C2/F00,1,,,,19.03,26.1,30.7,19.03
HY,25231-2E000 : FAN-COOLING,200, N,,C2/B00,1,,,,41.76,57.25,67.35,41.76
HY,25237-3F000 : WASHER,200, N,,B1/G11,1,,,,3.99,5.47,6.44,3.99
HY,25318-38000 : PLUG-RADIATOR DRAIN,201, N,,B1/H15,1,,,,3.44,4.72,5.55,3.44
HY,25328-B1000-QQH : LABEL-RADIATOR CA,200, A,,A1/I04,0,,,,0.79,1.08,1.27,
HY,25385-2E000 : RESISTOR,200, N,,A4/K,1,,,,96.43,132.2,155.53,96.43
HY,25385-4R000-QQH : RESISTOR,200, N,,A1/G04,1,,,,6.75,9.25,10.89,6.75
HY,25395-3F000 : BOLT,200, N,,B1/I27,3,,,,3.06,4.2,4.94,9.18
HY,25452-2B000 : GASKET-HEATER PIPE,200, N,,C3/J26,1,,,,1.89,2.59,3.05,1.89
HY,25462-2S000 : O-RING,200, A,,B1/I17,5,,,,1.12,1.54,1.81,5.6
HY,25462-2S500 : O-RING,200, N,,A4/I07,9,,,,1.87,2.57,3.02,16.83
HY,25462-21010 : O-RING,201, N,,A4/I13,30,,,,0.92,1.26,1.48,27.6
HY,25462-35504 : O-RING,201, A,,A4/I03,0,,,,2.94,4.03,4.74,
HY,25463-25000 : GASKET-W/INLET PIPET,200, N,,C3/J20,1,,,,6.06,8.3,9.77,6.06
HY,25470-2G050 : PIPE & HOSE ASSY-OIL,200, N,,A4/D00,1,,,,24.09,33.02,38.85,24.09
HY,25470-2G050-QQH : TUBE ASSY-OIL COO,200, A,,A1/E00,1,,,,21.32,29.23,34.99,21.32
HY,25470-2G650-QQH : TUBE ASSY-OIL COO,200, A,,B2/F00,1,,,,21.32,29.23,34.39,21.32
HY,25480-2E000 : HOSE ASSY-HEATER PIPE,200, N,,B6/J01,1,,,,14.45,19.81,23.31,14.45
HY,25500-2E000 : THERMOSTAT ASSY,200, N,,C1/K,14,,,,20.94,28.71,33.78,293.16
HY,25500-3L300 : THERMOSTAT ASSY,200, A,,B6/C00,1,,,,168.48,230.99,271.75,168.48
HY,25600-2J110 : INTEGRATED THERMAL-MA,200, A,,B1/B00,0,,,,169.76,232.74,273.81,
HY,25600-2S001-QQH : INTEGRATED THERMA,200, A,,B1/B00,0,,,,115.29,158.06,185.95,
HY,25612-35511 : GASKET-W/OUTLET FITTI,201, N,,C3/I24,2,,,,4.35,5.97,7.02,8.7
HY,25623-2B000 : O-RING,200, N,,C3/J18,2,,,,3.63,4.97,5.85,7.26
HY,25623-2E000 : O-RING,200, N,,B6/G10,1,,,,2.37,3.25,3.82,2.37
HY,25623-2J000 : GASKET-THERMOSTAT HOU,200, N,,C3/I16,1,,,,42.6,58.4,68.71,42.6
HY,25625-D3000 : O-RING,200, N,,B6/F16,1,,,,3.04,4.16,4.9,3.04
HY,25640-3L300 : GASKET-COOLANT INLET,200, A,,B6/I05,0,1,,,7.32,10.04,11.81,
HY,25641-2G500 : GASKET-THERMOSTAT HOU,200, N,,C3/I05,4,,,,4.47,6.13,7.21,17.88
HY,25642-2G500 : GASKET-THERMOSTAT HOU,200, N,,C3/I06,3,,,,2.94,4.03,4.74,8.82
HY,25651-3CAA0 : GASKET-THERMOSTAT HOU,202, A,,SPORD,0,,,,8.34,11.43,13.45,
HY,25652-3CAA0 : GASKET-THERMOSTAT HOU,202, A,,SPORD,0,,,,8.34,11.43,13.45,
HY,25653-3CAA0 : GASKET-WATER PIPE,202, A,,SPORD,0,,,,1.86,2.55,3,
HY,"26H09-AK013-R : BLADE ASSY-WIPER,RR",200, N,,RACK,9,,,,10.46,14.34,16.87,94.14
HY,26250-2E031 : SCREEN ASSY-OIL,200, N,,C2/I00,1,,,,44.87,61.51,72.37,44.87
HY,26259-2B000 : GASKET-OIL SCREEN,200, N,,C3/I12,1,,,,2.04,2.8,3.29,2.04
HY,26259-2E020 : GASKET-OIL SCREEN,200, N,,C3/I21,1,,,,0.75,1.03,1.21,0.75
HY,26259-35510 : GASKET-OIL SCREEN,200, N,,C3/I19,1,,,,3.85,5.28,6.21,3.85
HY,26300-3LAA0 : COMPLETE ASSY-OIL FIL,200, A,,SPORD,0,,,,180.03,246.81,290.37,
HY,26300-3LAA1 : COMPLETE ASSY-OIL FIL,200, A,,B1/B00,1,,,,173.72,238.16,280.19,173.72
HY,26300-35505 : FILTER ASSY-ENGINE OI,200, A,,421,28,40,,,5.05,6.93,8.15,141.4
HY,26320-3CAA0 : SERVICE KIT-OIL FILTE,201, A,,422,7,,,,9.29,12.74,14.99,65.03
HY,26320-3CKB0 : SERVICE KIT-OIL FILTE,200, A,,422,37,,,,8,10.96,12.9,296
HY,26320-3C100 : SERVICE KIT-OIL FILTE,201, A,,423,49,,,,9.29,12.74,14.99,455.21
HY,26320-3C250 : SERVICE KIT-OIL FILTE,201, A,,423,32,,,,9.29,12.74,14.99,297.28
HY,26320-3C30A : SERVICE KIT-OIL FILTE,201, A,,421,10,,,,9.29,12.74,14.99,92.9
HY,26320-3F500 : SERVICE KIT-OIL FILTE,200, A,,422,3,,,,9.29,12.74,14.99,27.87
HY,26320-3LTA0 : SERVICE KIT-OIL FILTE,200, A,,421,2,,,,8,10.96,12.9,16
HY,26320-3N000 : SERVICE KIT-OIL FILTE,200, A,,423,38,,,,9.29,12.74,14.99,353.02
HY,"26345-3CAB1 : OIL SEAL,RR",200, N,,C3/J25,1,,,,3,4.11,4.84,3
HY,26345-3LAA0 : SEAL-OIL,200, A,,B1/I13,0,,,,4.38,6,7.06,
HY,26350-2J001 : SERVICE KIT-OIL FILTE,200, A,,421,19,,,,10.56,14.48,17.03,200.64
HY,26350-2M000 : SERVICE KIT-OIL FILTE,200, A,,423,65,,,,8,10.96,12.9,520
HY,26350-2S001 : SERVICE KIT-OIL FILTE,200, A,,422,30,24,,,10.56,14.48,17.03,316.8
HY,263502T000 : OIL FILTER,200, A,,423,9,,,,9.36,15,15,84.24
HY,26351-3C100 : CAP-OIL FILTER,202, N,,C2/F00,1,,,,6.07,8.32,9.79,6.07
HY,26351-3C250 : CAP-OIL FILTER,202, N,,C2/F00,1,,,,6.07,8.32,9.79,6.07
HY,26410-2B740 : COOLER ASSY-ENG OIL,200, N,,C4/C00,1,,,,121.72,166.87,196.32,121.72
HY,26510-26630 : CAP-OIL FILLER,200, N,,B6/F14,1,,,,15.18,20.81,24.48,15.18
HY,26611-2G050-QQH : ROD ASSY-OIL LEVE,200, N,,A1/E00,3,,,,3.68,5.05,5.94,11.04
HY,27410-23700 : PLUG ASSY-SPARK,201, N,,C4/D00,6,,,,17.35,23.78,27.98,104.1
HY,27410-37100 : PLUG ASSY-SPARK,201, N,,C4/D00,8,,,,17.35,23.78,27.98,138.8
HY,28110-L0400 : CLEANER ASSY-AIR,200, N,,B7/A00,1,,,,149.77,205.33,241.56,149.77
HY,28113-AA670 : FILTER-AIR CLEANER,200, A,,410,15,,,,25,34.28,40.33,375
HY,28113-A9100 : FILTER-AIR CLEANER,200, A,,413,30,,,,21.54,29.54,34.75,646.2
HY,28113-BE000 : FILTER-AIR CLEANER,200, A,,411,2,,,,18.8,25.77,30.32,37.6
HY,28113-BY100-AS : FILTER-AIR CLEANER,200, A,,414,5,,,,26.89,36.86,43.37,134.45
HY,28113-B1000 : FILTER-AIR CLEANER,200, N,,415,3,,,,25.88,35.48,41.74,77.64
HY,28113-C1100 : FILTER-AIR CLEANER,200, A,,412,2,,,,17.92,24.57,28.91,35.84
HY,28113-C1500-AS : FILTER-AIR CLEANER,200, N,,414,4,,,,21.1,28.93,34.03,84.4
HY,28113-DU000 : FILTER-AIR CLEANER,200, N,,415,3,,,,21.54,29.54,34.75,64.62
HY,28113-D3300 : FILTER-AIR CLEANER,200, A,,413,8,,,,20.6,28.25,33.23,164.8
HY,28113-F2000 : FILTER-AIR CLEANER,200, A,,413,3,,,,21.54,29.54,34.75,64.62
HY,28113-G2700 : FILTER-AIR CLEANER,200, A,,410,3,,,,17.58,24.11,28.36,52.74
HY,28113-H8100 : FILTER-AIR CLEANER,200, N,,412,5,,,,19.71,27.02,31.79,98.55
HY,28113-K2100 : FILTER-AIR CLEANER,200, A,,413,8,,,,17.92,24.57,28.91,143.36
HY,28113-L1000 : FILTER-AIR CLEANER,200, A,,415,4,4,,,19.75,27.07,31.85,79
HY,28113-L5100 : FILTER-AIR CLEANER,200, A,,412,5,,,,18.81,25.79,30.34,94.05
HY,28113-N9000 : FILTER-AIR CLEANER,200, A,,411,4,,,,33.52,45.96,54.07,134.08
HY,28113-P0400 : FILTER-AIR CLEANER,200, A,,410,9,,,,17.92,24.57,28.91,161.28
HY,28113-S0100 : FILTER-AIR CLEANER,200, N,,410,2,,,,38.26,52.46,61.72,76.52
HY,28113-1R100-AS : FILTER-AIR CLEANER,201, A,,412,3,,,,17.58,24.11,28.36,52.74
HY,28113-2B000 : FILTER-AIR CLEANER,201, A,,410,1,,,,17.92,24.57,28.91,17.92
HY,28113-2P100 : FILTER-AIR CLEANER,201, A,,411,18,,,,19,26.05,30.65,342
HY,28113-2S000 : FILTER-AIR CLEANER,201, A,,411,3,,,,19.71,27.02,31.79,59.13
HY,28113-2W100 : FILTER-AIR CLEANER,201, A,,415,3,,,,18.64,25.55,30.06,55.92
HY,28113-3M000 : FILTER-AIR CLEANER,201, N,,412,3,,,,25.88,25.79,30.34,77.64
HY,28113-3X000 : FILTER-AIR CLEANER,201, A,,412,1,,,,18.98,26.02,30.61,18.98
HY,28113-4D000 : FILTER-AIR CLEANER,201, N,,415,3,,,,17.92,24.57,28.91,53.76
HY,28115-C1500 : COVER,200, N,,C2/D00,1,,,,11.46,15.71,18.48,11.46
HY,28127-B1000 : ELEMENT ASSY-AIR CLEA,200, N,,412,2,,,,25.88,35.48,41.74,51.76
HY,28128-B1000 : ELEMENT ASSY-AIR CLEA,200, N,,412,2,,,,25.88,35.48,41.74,51.76
HY,28215-3CFA0 : GASKET-INLET MANIFOLD,200, A,,C3/J11,0,,,,12.54,17.2,20.23,
HY,28215-3CFB0 : GASKET-WATER VENT,200, N,,B1/H13,1,,,,12.7,17.41,20.48,12.7
HY,28231-2B760 : TURBOCHARGER,200, A,,A4/A00,0,,,,952.18,1305.4,1535.77,
HY,28231-2G411 : SNAP-RING,200, N,,B1/I07,2,,,,8.76,12.01,14.13,17.52
HY,28240-2G411-QQH : OIL FEED HOSE SER,200, N,,A1/F18,1,,,,19.62,26.9,31.65,19.62
HY,28241-2B710 : GASKET-T/C OIL FEED,200, A,,C3/H19,0,,,,4.73,6.49,7.63,
HY,28246-2B710 : GASKET-OIL DRAIN,200, A,,B1/F21,0,,,,4.51,6.18,7.27,
HY,28246-2C400 : GASKET-T/C OIL DRAIN,201, N,,C3/J27,6,,,,3.22,4.41,5.19,19.32
HY,28247-2B700 : GASKET-T/C OIL DRAIN,200, A,,B1/F38,0,,,,3.44,4.72,5.55,
HY,28282-2B700 : GSKET-TUBOCHARGER COU,200, A,,C3/I25,0,,,,15.71,21.54,25.34,
HY,28312-2E000 : GASKET-THROTTLE BODY,202, N,,C3/J04,1,,,,4.22,5.79,6.81,4.22
HY,28312-2G000 : GASKET-THROTTLE BODY,200, N,,C3/J22,1,,,,7.93,10.87,12.79,7.93
HY,28312-2G700 : GASKET-THROTTLE BODY,200, N,,C3/J09,2,,,,7.93,10.87,12.79,15.86
HY,28313-2E000 : GASKET-PORT,200, N,,C3/H08,4,,,,20.78,28.49,33.52,83.12
HY,28313-2G700 : GASKET-INTAKE MANIFOL,201, N,,C3/J06,1,,,,4.57,6.26,7.37,4.57
HY,28313-2M100 : GASKET-THROTTLE BODY,200, A,,SPORD,0,,,,10.04,13.76,16.19,
HY,28314-2M100 : GASKET-INTAKE MANIFOL,200, N,,C3/J04,1,,,,25.21,34.56,40.66,25.21
HY,28314-2M800 : GASKET-INTAKE MANIFOL,200, N,,C3/J03,1,,,,16.59,22.75,26.76,16.59
HY,28411-2M100 : GASKET-INTAKE MANIFOL,200, A,,C3/J05,1,,,,7.96,10.91,12.84,7.96
HY,28411-26900 : GASKET-INTAKE MANIFOL,203, N,,C3/L,1,,,,17.24,23.64,27.81,17.24
HY,28417-2F000 : BOLT,200, N,,B1/G18,2,,,,1.35,1.85,2.18,2.7
HY,28491-2E900 : GASKET-EGR PIPE,200, A,,B1/J18,0,,,,5.03,6.89,8.11,
HY,28491-2E920 : GASKET-EGR PIPE,200, A,,B1/J19,0,,,,15.57,21.34,25.11,
HY,28492-2E900 : GASKET-EGR PIPE,200, A,,B1/J20,1,,,,3.92,5.37,6.32,3.92
HY,28493-2E900 : GASKET-EGR PIPE,200, A,,SPORD,0,,,,3.37,4.62,5.44,
HY,28510-2EPE0 : MANIFOLD CATALYTIC AS,200, A,,B6/L00,1,,,,936.58,1284.02,1510.61,936.58
HY,28515-2B000 : STUD,200, A,,B1/F33,1,,,,4.68,6.42,7.55,4.68
HY,28521-2B700 : GASKET-EXHAUST MANIFO,200, A,,C3/L00,0,,,,16.07,22.03,25.92,
HY,28521-2E000 : GASKET-EXHAUST MANIFO,200, A,,C3/H11,1,,,,6.53,8.95,10.53,6.53
HY,28521-25020 : GASKET-EXHAUST MANIFO,201, N,,C3/L,1,,,,9.94,13.63,16.03,9.94
HY,28521-26600 : GASKET-EXHAUST MANIFO,201, N,,C3/L,2,,,,19.06,26.13,30.74,38.12
HY,28523-2B100 : NUT,200, A,,B1/F28,4,,,,3.88,5.32,6.26,15.52
HY,28600-D3170 : MUFFLER COMPLETE-CENT,200, A,,A3/A00,1,,,,1696.84,2326.31,2736.84,1696.84
HY,28751-1R000 : GASKET-EXHAUST PIPE,200, N,,C3/I15,1,,,,14.33,19.64,23.11,14.33
HY,28751-2B550 : GASKET-EXHAUST PIPE,202, N,,C1/G11,1,,,,11.86,16.26,19.13,11.86
HY,28751-2S000 : GASKET-EXHAUST PIPE,200, A,,C3/H15,1,,,,13.2,18.1,21.29,13.2
HY,28751-2V000 : GASKET-EXHAUST PIPE,200, A,,SPORD,0,,,,14.33,19.64,23.11,
HY,28751-3J000 : GASKET,202, N,,C3/I23,1,,,,15.53,21.29,25.05,15.53
HY,28751-3S000 : GASKET-EXHAUST PIPE,201, N,,C3/H10,1,,,,15.75,21.59,25.4,15.75
HY,28751-3S100 : GASKET-EXHAUST PIPE,201, A,,C3/H10,2,,,,14.32,19.64,23.1,28.64
HY,28764-26000 : GASKET-EXHAUST PIPE,200, N,,C3/I13,1,,,,37.21,51.02,60.02,37.21
HY,28764-28020 : GASKET-EXHAUST PIPE,201, N,,C3/H17,1,,,,13.38,18.34,21.58,13.38
HY,28764-4D250 : GASKET,200, N,,C3/I17,1,,,,20.91,28.67,33.73,20.91
HY,29110-AA000 : PANEL ASSY-UNDER COVE,200, A,,NO BIN,0,,,,77.8,116.02,136.49,
HY,29110-K5000 : PANEL ASSY-UNDER COVE,200, N,,A3/C00,1,,,,129.24,192.73,226.74,129.24
HY,29208 : BLACK GASKET MAKER,200, A,,SPORD,0,,,,20.99,29.38,35.05,
HY,29213-3C010 : BOLT,200, N,,B1/G28,9,,,,12.32,16.89,19.87,110.88
HY,29215-3CFA1 : GASKET-SURGE TANK,200, A,,C3/J01,0,,,,19.5,26.73,31.45,
HY,29217-23603 : BOLT,201, N,,B1/J13,4,,,,1.14,1.56,1.84,4.56
HY,"3JH09-AK014-R : BLADE ASSY-WIPER,RR",210, A,,RACK,6,,,,15.72,21.55,25.35,94.32
HY,3SF79-AQ000 : FILTER-AIR,210, A,,401,4,,,,21.73,29.8,35.06,86.92
HY,31010-3L600 : CAP ASSY-FUEL FILLER,201, A,,C2/D00,1,,,,17.42,23.88,28.09,17.42
HY,31108-2B100 : PACKING-FUEL PUMP,200, N,,B1/J15,1,,,,7.93,10.87,12.79,7.93
HY,31110-0W000 : COMPLETE-FUEL PUMP,201, N,,C2/H00,1,,,,554.4,760.06,894.19,554.4
HY,31116-38201 : HOSE-FUEL PUMP,200, N,,C2/H00,1,,,,20.57,28.2,33.18,20.57
HY,31312-3Q900--DS : TUBE-FUEL FEED,200, N,,C1/L,1,,,,85.93,117.81,138.6,85.93
HY,31336-3Z000 : CLIP-FUEL TUBE,200, N,,B1/H29,1,,,,5.24,7.18,8.45,5.24
HY,31410-B1500-QQH : CANISTER ASSY,200, N,,A1/E00,1,,,,32.58,44.67,52.55,32.58
HY,31410-2V501-QQH : CANISTER REPAIR K,200, N,,A1/K00,1,,,,109.02,149.46,175.84,109.02
HY,31410-4R511-QQH : CANISTER ASSY,200, N,,A1/L00,1,,,,16.89,23.15,27.24,16.89
HY,31410-4R701-QQH : CANISTER REPAIR K,200, N,,A1/K00,1,,,,82.49,113.09,133.05,82.49
HY,31420-N9500 : CANISTER ASSY,200, N,,C1/K00,1,,,,328.7,450.64,530.16,328.7
HY,31420-0A000 : CANISTER ASSY,201, N,,C4/B00,1,,,,225.98,309.81,364.48,225.98
